id,originalId,name,details,reviews
55973,4db16b1c43a1bea42bca5485,Delta DL41,http://tour-pedia.org/api/getPlaceDetails?id=55973,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55973
55994,4db1c168f7b1bd003ae46b6a,Easybus West Brompton,http://tour-pedia.org/api/getPlaceDetails?id=55994,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=55994
56002,4db1d5eb1e729fcc565b8e5b,Wolfson House,http://tour-pedia.org/api/getPlaceDetails?id=56002,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56002
56006,4db1de908154905aadcaf06f,Fordwych Road,http://tour-pedia.org/api/getPlaceDetails?id=56006,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56006
56014,4db27ebca86e58921bf73ba0,Limerick Gardens,http://tour-pedia.org/api/getPlaceDetails?id=56014,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56014
56024,4db2be2cfa8c350240bc250b,Upper Richmond Road,http://tour-pedia.org/api/getPlaceDetails?id=56024,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56024
56110,4db51ead316a3bec5261fa05,Platform 2,http://tour-pedia.org/api/getPlaceDetails?id=56110,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56110
56112,4db529fa0f2cc52c210f67f9,Platform 3,http://tour-pedia.org/api/getPlaceDetails?id=56112,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56112
56152,4db652dffa8c3502410e4dbb,Flight Connections - T3,http://tour-pedia.org/api/getPlaceDetails?id=56152,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56152
56153,4db655ad6e8179a913a1f3dd,Flight Connections - T5,http://tour-pedia.org/api/getPlaceDetails?id=56153,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56153
56179,4db7ce11fa8c377d83b06c5a,Platform 3,http://tour-pedia.org/api/getPlaceDetails?id=56179,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56179
56252,4dbac09193a08055483d5e1a,Gate 21B,http://tour-pedia.org/api/getPlaceDetails?id=56252,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56252
56277,4dbc02461e72b351caa6b3f7,Bus Stop K,http://tour-pedia.org/api/getPlaceDetails?id=56277,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56277
56279,4dbc0b25fa8cee7273411d65,Platform 1,http://tour-pedia.org/api/getPlaceDetails?id=56279,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56279
56282,4dbc27d3a86e0e98a1db8d1e,Platform 2,http://tour-pedia.org/api/getPlaceDetails?id=56282,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56282
56309,4dbd5447f7b1ab37dd7363f5,Heathrow Pod - Business Parking Station A,http://tour-pedia.org/api/getPlaceDetails?id=56309,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56309
56342,4dbeaf7d4b222080d3c5877b,Finchley Rd.,http://tour-pedia.org/api/getPlaceDetails?id=56342,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56342
56345,4dbeba566e810768bf93ebd5,Hammersmith Flyover,http://tour-pedia.org/api/getPlaceDetails?id=56345,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56345
56369,4dbff8e14b2221ec2d659891,Harland road bus stop,http://tour-pedia.org/api/getPlaceDetails?id=56369,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56369
56370,4dc0034bcda12687c8409145,Enfield Council,http://tour-pedia.org/api/getPlaceDetails?id=56370,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56370
56375,4dc0263f4b2221ec2d6a07d7,Docklands Campus Library,http://tour-pedia.org/api/getPlaceDetails?id=56375,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56375
56388,4dc0f10e1838710f4371d120,Platform 8,http://tour-pedia.org/api/getPlaceDetails?id=56388,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56388
56389,4dc0f636d16455f8321e3393,Platform 8,http://tour-pedia.org/api/getPlaceDetails?id=56389,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56389
56400,4dc179368877c00d6ad9454d,Popes Lane,http://tour-pedia.org/api/getPlaceDetails?id=56400,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56400
56428,4dc2707ed1643ed27a4e8615,"London Road, Norbury",http://tour-pedia.org/api/getPlaceDetails?id=56428,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56428
56486,4dc400dd2271f2705107b23e,Bus Stop (43 & 134),http://tour-pedia.org/api/getPlaceDetails?id=56486,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56486
56534,4dc56e23d22dafda2fa404ee,TfL Bus 136,http://tour-pedia.org/api/getPlaceDetails?id=56534,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56534
56556,4dc66ef1d22dafda2fbd7702,Blenheim Car Park,http://tour-pedia.org/api/getPlaceDetails?id=56556,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56556
56577,4dc6db79e4cd169dc66fd7f9,Bus Stop Q,http://tour-pedia.org/api/getPlaceDetails?id=56577,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56577
56589,4dc79bb0d164eb9ca0230d42,Cancer Centre London,http://tour-pedia.org/api/getPlaceDetails?id=56589,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56589
56641,4dca23137d8bc0c0b8771049,Platform 4,http://tour-pedia.org/api/getPlaceDetails?id=56641,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56641
56643,4dca3cead22da18f4e5efe68,ArcelorMittal Orbit,http://tour-pedia.org/api/getPlaceDetails?id=56643,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56643
56650,4dca9cab1850d16f71754b48,Mitcham Junction London Tramlink Stop,http://tour-pedia.org/api/getPlaceDetails?id=56650,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56650
56668,4dcb06141f6ea1401d3666dd,East London Cars,http://tour-pedia.org/api/getPlaceDetails?id=56668,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56668
56675,4dcbc076d4c0dfa030d686e4,Exhibition Road,http://tour-pedia.org/api/getPlaceDetails?id=56675,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56675
56721,4dcd5e16d22deadedd36e7a7,Accident and Emergency Room,http://tour-pedia.org/api/getPlaceDetails?id=56721,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56721
56726,4dcd706cd4c065592f6571fd,Platform 4 WCY,http://tour-pedia.org/api/getPlaceDetails?id=56726,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56726
56771,4dced0fc81302fe12fa4cf77,Platform 4,http://tour-pedia.org/api/getPlaceDetails?id=56771,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56771
56772,4dced1ad81302fe12fa4d409,Platform 2,http://tour-pedia.org/api/getPlaceDetails?id=56772,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56772
56774,4dced26b81302fe12fa4d8c0,Platform 1,http://tour-pedia.org/api/getPlaceDetails?id=56774,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56774
56776,4dced34181302fe12fa4ddf6,Platform 3,http://tour-pedia.org/api/getPlaceDetails?id=56776,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56776
56803,4dd010e2ae603b786d576ad8,Edward temme avenue,http://tour-pedia.org/api/getPlaceDetails?id=56803,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56803
56814,4dd0d9f8c65bdac7139b8835,Hoe Street (Sth),http://tour-pedia.org/api/getPlaceDetails?id=56814,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56814
56832,4dd136e7ae603b786d70fcb4,Old Ford Road Bus Stop,http://tour-pedia.org/api/getPlaceDetails?id=56832,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56832
56833,4dd14418183899ddfb17f04d,Guildhall,http://tour-pedia.org/api/getPlaceDetails?id=56833,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56833
56836,4dd15463d4c065592fc381f7,TfL Bus B15,http://tour-pedia.org/api/getPlaceDetails?id=56836,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56836
56852,4dd20d10227159fef2428601,Stamford Hill Bus Garage,http://tour-pedia.org/api/getPlaceDetails?id=56852,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56852
